"","airport","city","country","latitude","longitude"
"1079","OAKEY","OAKEY","AUSTRALIA",-27.411,151.735
"1080","OBERA","OBERA","ARGENTINA",-27.518,-55.124
"1081","OBERPFAFFENHOFEN","OBERPFAFFENHOFEN","GERMANY",48.081,11.283
"1082","TIRIOS","OBIDOS TIRIOS","BRAZIL",2.223,-55.946
"1083","AGUAS CLARAS","OCANA","COLOMBIA",8.315,-73.358
"1084","OIAPOQUE","OIOIAPOQUE","BRAZIL",3.855,-51.797
"1085","OKONDJA","OKONDJA","GABON",-0.665,13.673
"1086","OLAVARRIA","OLAVARRIA","ARGENTINA",-36.891,-60.216
"1087","OLD CROW","OLD CROW","CANADA",67.571,-139.839
"1088","OMBOUE HOPITAL","OMBOUE HOSPIAL","GABON",-1.575,9.263
"1089","TAFARAOUI","ORAN","ALGERIA",35.542,-0.532
"1090","ES SENIA","ORAN","ALGERIA",35.624,-0.621
"1091","ORAN","ORAN","ARGENTINA",-23.153,-64.329
"1092","ORAPA","ORAPA","BOTSWANA",-21.266,25.32
"1093","TROMBETAS","ORIXIMINA","BRAZIL",-1.489,-56.397
"1094","ST DENIS DE L HOTEL","ORLEANS","FRANCE",47.897,2.163
"1095","ORMOC","ORMOC","PHILIPPINES",11.056,124.566
"1096","JUAN MENDOZA","ORURO","BOLIVIA",-17.963,-67.076
"1097","OSAN AB","OSAN","KOREA",37.091,127.029
"1098","CANAL BAJO CARLOS HOTT SIEBERT","OSORNO","CHILE",-40.611,-73.06
"1099","OOSTENDE","OSTEND","BELGIUM",51.199,2.862
"1100","OTTAWA MACDONALD CARTIER INTERNATIONAL","OTTAWA","CANADA",45.323,-75.669
"1101","OTU","OTU","COLOMBIA",7.01,-74.715
"1102","OUARGLA","OUARGLA","ALGERIA",31.917,5.413
"1103","OUARZAZATE","OUARZAZATE","MOROCCO",30.939,-6.909
"1104","OUDTSHOORN","OUDTSHOORN","SOUTH AFRICA",-33.607,22.189
"1105","OUESSANT","OUESSANT","FRANCE",48.463,-5.064
"1106","OUESSO","OUESSO","CONGO",1.616,16.038
"1107","ANGADS","OUJDA","MOROCCO",34.787,-1.924
"1108","OULU","OULU","FINLAND",64.93,25.354
"1109","OUVEA OULOUP","OUVEA","NEW CALEDONIA",-20.641,166.573
"1110","OVERBERG","OVERBERG","SOUTH AFRICA",-34.555,20.25
"1111","OWANDO","OWANDO","CONGO",-0.531,15.95
"1112","OYEM","OYEM","GABON",1.541,11.581
"1113","TABING","PADANG","INDONESIA",-0.876,100.352
"1114","AEK GODANG","PADANG SIDEMPUAN","INDONESIA",1.399,99.432
"1115","PADERBORN LIPPSTADT","PADERBORN","GERMANY",51.614,8.616
"1116","KEMBLE","PAILTON","UK",51.668,-2.057
"1117","PAKSE","PAKSE","LAOS",15.132,105.781
"1118","TJILIK RIWUT","PALANGKARAYA","INDONESIA",-2.225,113.943
"1119","SULTAN MAHMUD BADARUDDIN II","PALEMBANG","INDONESIA",-2.898,104.701
"1120","PALMARITO","PALMARITO","VENEZUELA",7.576,-70.174
"1121","MUTIARA","PALU","INDONESIA",-0.918,119.909
"1122","DEPATI AMIR","PANGKAL PINANG","INDONESIA",-2.163,106.139
"1123","ISKANDAR","PANGKALAN BUN","INDONESIA",-2.705,111.673
"1124","JOSEFA CAMEJO","PARAGUANA","VENEZUELA",11.781,-70.152
"1125","PARAKOU","PARAKOU","BENIN",9.357,2.609
"1126","ZORG EN HOOP","PARAMARIBO","SURINAM",5.811,-55.191
"1127","GENERAL URQUIZA","PARANA","ARGENTINA",-31.795,-60.48
"1128","SCHWERIN PARCHIM","PARCHIM","GERMANY",53.427,11.783
"1129","LE BOURGET","PARIS","FRANCE",48.969,2.441
"1130","CHARLES DE GAULLE","PARIS","FRANCE",49.013,2.55
"1131","ORLY","PARIS","FRANCE",48.725,2.359
"1132","PARNAIBA","PARNAIBA","BRAZIL",-2.894,-41.732
"1133","PARNU","PARNU","ESTONIA",58.419,24.473
"1134","PARO","PARO","BHUTAN",27.403,89.426
"1135","PARYS","PARYS","SOUTH AFRICA",-26.889,27.503
"1136","PASO DE LOS LIBRES","PASO DE LOS LIBRES","ARGENTINA",-29.689,-57.152
"1137","LAURO KURTZ","PASSO FUNDO","BRAZIL",-28.244,-52.326
"1138","ANTONIO NARINO","PASTO","COLOMBIA",1.396,-77.291
"1139","PATHANKOT","PATHANKOT","INDIA",32.234,75.634
"1140","PATHEIN","PATHEIN","MYANMAR",16.813,94.775
"1141","PATIALA","PATIALA","INDIA",30.315,76.363
"1142","PATREKSFJORDUR","PATREKSFJORDUR","ICELAND",65.556,-23.965
"1143","PATTANI","PATTANI","THAILAND",6.785,101.153
"1144","RAAHE PATTIJOKI","PATTIJOKI","FINLAND",64.688,24.696
"1145","PAU PYRENEES","PAU","FRANCE",43.38,-0.419
"1146","PAULO AFONSO","PAULO ALFONSO","BRAZIL",-9.401,-38.251
"1147","PAYA LEBAR","PAYA LEBAR","SINGAPORE",1.36,103.909
"1148","TYDEO LARRE BORGES INTERNATIONAL","PAYSANDU","URUGUAY",-32.365,-58.061
"1149","PEACE RIVER","PEACE RIVER","CANADA",56.227,-117.447
"1150","PEDERNALES","PEDERNALES","ECUADOR",0.073,-80.052
"1151","COMODORO P ZANNI","PEHUAJO","ARGENTINA",-35.846,-61.858
"1152","SULTAN SYARIF KASIM II","PEKANBARU","INDONESIA",0.461,101.444
"1153","KUGAARUK","PELLY BAY","CANADA",68.534,-89.808
"1154","PELOTAS","PELOTAS","BRAZIL",-31.718,-52.328
"1155","PEMBA","PEMBA","MOZAMBIQUE",-12.987,40.522
"1156","PENANG INTERNATIONAL","PENANG","MALAYSIA",5.297,100.277
"1157","PENDOPO","PENDORO","INDONESIA",-3.286,103.879
"1158","MATECANA","PEREIRA","COLOMBIA",4.813,-75.739
"1159","BASSILLAC","PERIGUEUX","FRANCE",45.198,0.816
"1160","PERTH JANDAKOT","PERTH","AUSTRALIA",-32.097,115.881
"1161","PERTH INTERNATIONAL","PERTH","AUSTRALIA",-31.94,115.967
"1162","PETERBOROUGH","PETERBOROUGH","CANADA",44.23,-78.363
"1163","PETROLINA","PETROLINA","BRAZIL",-9.364,-40.564
"1164","PHALABORWA","PHALABORWA","SOUTH AFRICA",-23.937,31.155
"1165","LOM SAK","PHETCHABUN","THAILAND",16.821,101.254
"1166","PHITSANULOK","PHITSANULOK","THAILAND",16.783,100.279
"1167","PHONESAVANH","PHONG SAVANH","LAOS",19.455,103.218
"1168","PHRAE","PHRAE","THAILAND",18.132,100.164
"1169","PHUKET INTERNATIONAL","PHUKET","THAILAND",8.113,98.317
"1170","PICKLE LAKE","PICKLE LAKE","CANADA",51.446,-90.214
"1171","PIETERMARITZBURG","PIETERMARITZBURG","SOUTH AFRICA",-29.649,30.399
"1172","PIETERSBURG INTERNATIONAL","PIETERSBURG","SOUTH AFRICA",-23.845,29.459
"1173","PIETERSBURG MUNI","PIETERSBURG","SOUTH AFRICA",-23.926,29.484
"1174","PIIKAJARVI","PIIKAJARVI","FINLAND",61.246,22.193
"1175","PILANESBERG","PILANESBERG","SOUTH AFRICA",-25.334,27.173
"1176","CARLOS MIGUEL JIMENEZ","PILAR","PARAGUAY",-26.881,-58.318
"1177","CAMPO FONTENELLE","PIRACUNUNGA","BRAZIL",-21.985,-47.338
"1178","PISCO","PISCO","PERU",-13.745,-76.22
"1179","PITALITO","PITALITO","COLOMBIA",1.858,-76.086
"1180","PITT MEADOWS","PITT MEADOWS","CANADA",49.216,-122.71
"1181","CAPITAN CONCHA","PIURA","PERU",-5.206,-80.616
"1182","PLETTENBERG BAY","PLETTENBERG BAY","SOUTH AFRICA",-34.09,23.328
"1183","POCOS DE CALDAS","POCOS DE CALDAS","BRAZIL",-21.843,-46.568
"1184","POHANG","POHANG","KOREA",35.988,129.42
"1185","POINT COOK","POINT COOK","AUSTRALIA",-37.932,144.753
"1186","POINTE NOIRE","POINTE-NOIRE","CONGO",-4.813,11.886
"1187","BIARD","POITIERS","FRANCE",46.588,0.307
"1188","POKHARA","POKHARA","NEPAL",28.2,83.981
"1189","POMFRET","POMFRET","SOUTH AFRICA",-25.847,23.538
"1190","POND INLET","POND INLET","CANADA",72.683,-77.967
"1191","PONGGALUKU","PONGGALUKU","INDONESIA",-4.317,122.467
"1192","PONTA GROSSA","PONTA GROSSA","BRAZIL",-25.184,-50.144
"1193","PONTA PORA","PONTA PORA","BRAZIL",-22.549,-55.703
"1194","SUPADIO","PONTIANAK","INDONESIA",-0.151,109.404
"1195","PONTIVY","PONTIVY","FRANCE",48.058,-2.922
"1196","CORMEILLES EN VEXIN","PONTOISE","FRANCE",49.096,2.041
"1197","GUILLERMO LEON VALENCIA","POPAYAN","COLOMBIA",2.454,-76.61
"1198","PORI","PORI","FINLAND",61.462,21.8
"1199","DEL CARIBE INTERNATIONAL GEN SANTAGO MARINO","PORLAMAR","VENEZUELA",10.912,-63.966
"1200","PORT VILA BAUERFIELD","PORT-VILA","VANUATU",-17.699,168.32
"1201","PORT BLAIR","PORT BLAIR","INDIA",11.646,92.733
"1202","PORT ELIZABETH","PORT ELIZABETH","SOUTH AFRICA",-33.985,25.617
"1203","PORT GENTIL","PORT GENTIL","GABON",-0.712,8.754
"1204","PORT HARDY","PORT HARDY","CANADA",50.681,-127.367
"1205","PORT HEDLAND INTERNATIONAL","PORT HEDLAND","AUSTRALIA",-20.378,118.626
"1206","PORT MENIER","PORT MENIER","CANADA",49.836,-64.289
"1207","PORT MORESBY JACKSONS INTERNATIONAL","PORT MORESBY","PAPUA NEW GUINEA",-9.443,147.22
"1208","PORT ST JOHNS","PORT SAINT JOHNS","SOUTH AFRICA",-31.606,29.52
"1209","SOUTHPORT","PORTAGE-LA-PRAIRIE","CANADA",49.903,-98.275
"1210","CANOAS","PORTO ALEGRE","BRAZIL",-29.946,-51.144
"1211","SALGADO FILHO","PORTO ALEGRE","BRAZIL",-29.994,-51.171
"1212","PORTO NACIONAL","PORTO NACIONAL","BRAZIL",-10.719,-48.4
"1213","GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA","PORTO VELHO","BRAZIL",-8.709,-63.902
"1214","REALES TAMARINDOS","PORTOVIEJO","ECUADOR",-1.041,-80.472
"1215","CAPITAN FUENTES MARTINEZ","PORVENIR","CHILE",-53.254,-70.319
"1216","POSADAS","POSADAS","ARGENTINA",-27.386,-55.971
"1217","KASIGUNCU","POSO","INDONESIA",-1.417,120.657
"1218","POTCHEFSTROOM","POTCHEFSTROOM","SOUTH AFRICA",-26.671,27.082
"1219","POTGIETERSRUS","POTGIETERSRUS","SOUTH AFRICA",-24.23,28.984
"1220","CAPITAN NICOLAS ROJAS","POTOSI","BOLIVIA",-19.543,-65.724
"1221","WATTHANA NAKHON","PRACHIN BURI","THAILAND",13.769,102.315
"1222","HUA HIN","PRACHUAP KHIRI KHAN","THAILAND",12.634,99.951
"1223","PRASLIN","PRASLIN","SEYCHELLES",-4.319,55.691
"1224","TERMAL","PRESIDENCIA R.S.PENA","ARGENTINA",-26.756,-60.493
"1225","PRESIDENTE PRUDENTE","PRESIDENT PRUDENTE","BRAZIL",-22.175,-51.424
"1226","WONDERBOOM","PRETORIA","SOUTH AFRICA",-25.654,28.224
"1227","PRINCE ALBERT GLASS FIELD","PRINCE ALBERT","CANADA",53.214,-105.673
"1228","PRINCE RUPERT","PRINCE PUPERT","CANADA",54.286,-130.445
"1229","PRINCETON","PRINCETON","CANADA",49.468,-120.512
"1230","PRINCIPE","PRINCIPE","SAO TOME & PRINCIPE",1.663,7.412
"1231","PROPRIANO","PROPRIANO","FRANCE",41.663,8.89
"1232","PROSERPINE WHITSUNDAY COAST","PROSSERPINE","AUSTRALIA",-20.495,148.552
"1233","EL EMBRUJO","PROVIDENCIA","COLOMBIA",13.357,-81.358
"1234","CAP FAP DAVID AVENZUR RENGIFO","PUCALLPA","PERU",-8.378,-74.574
"1235","PUDASJARVI","PUDASJARVI","FINLAND",65.402,26.947
"1236","TRES DE MAYO","PUERTO ASIS","COLOMBIA",0.505,-76.501
"1237","CASIQUE ARAMARE","PUERTO AYACUCHO","VENEZUELA",5.62,-67.606
"1238","PUERTO BOLIVAR","PUERTO BOLIVAR","COLOMBIA",12.221,-71.985
"1239","GENERAL BARTOLOME SALOM INTERNATIONAL","PUERTO CABELLO","VENEZUELA",10.48,-68.073
"1240","PUERTO CARRENO","PUERTO CARRENO","COLOMBIA",6.184,-67.493
"1241","PUERTO DESEADO","PUERTO DESEADO","ARGENTINA",-47.735,-65.904
"1242","PUERTO ESPERANZA","PUERTO ESPERANZA","PERU",-9.768,-70.706
"1243","EL TEHUELCHE","PUERTO MADRYN","ARGENTINA",-42.759,-65.102
"1244","PADRE ALDAMIZ","PUERTO MALDONADO","PERU",-12.614,-69.229
"1245","EL TEPUAL INTERNATIONAL","PUERTO MONTT","CHILE",-41.439,-73.094
"1246","PUERTO PRINCESA","PUERTO PRINCESA","PHILIPPINES",9.742,118.759
"1247","CAP DE AV SALVADOR OGAYA G","PUERTO SUAREZ","BOLIVIA",-18.975,-57.821
"1248","GUARDIAMARINA ZANARTU","PUERTO WILLIAMS","CHILE",-54.931,-67.626
"1249","LANGKAWI INTERNATIONAL","PULAU","MALAYSIA",6.33,99.729
"1250","PULAU TIOMAN","PULAU PIOMAN","MALAYSIA",2.818,104.16
"1251","CARLOS IBANEZ DEL CAMPO INTERNATIONAL","PUNTA ARENAS","CHILE",-53.003,-70.855
"1252","EL JAGUEL INTERNATIONAL","PUNTA DEL ESTE","URUGUAY",-34.914,-54.921
"1253","PUNTA INDIO","PUNTA INDIO","ARGENTINA",-35.348,-57.294
"1254","PUTAO","PUTAO","MYANMAR",27.33,97.426
"1255","PANGSUMA","PUTUSIBAU","INDONESIA",0.836,112.936
"1256","PYAY","PYAY","MYANMAR",18.824,95.266
"1257","PYHASALMI","PYHASALMI","FINLAND",63.732,25.926
"1258","A 511","PYONGTAEK","KOREA",36.961,127.033
"1259","QUEBEC JEAN LESAGE INTERNATIONAL","QUEBEC","CANADA",46.788,-71.398
"1260","QUEENSTOWN","QUEENSTOWN","SOUTH AFRICA",-31.92,26.882
"1261","QUELIMANE","QUELIMANE","MOZAMBIQUE",-17.856,36.869
"1262","QUESNEL","QUESNEL","CANADA",53.026,-122.51
"1263","EL CARANO","QUIBDO","COLOMBIA",5.691,-76.641
"1264","MARISCAL SUCRE INTERNATIONAL","QUITO","ECUADOR",-0.141,-78.488
"1265","SALE","RABAT","MOROCCO",34.051,-6.751
"1266","FURSATGANJ","RAIBARELLI","INDIA",26.25,81.381
"1267","RAJAHMUNDRY","RAJAHMUNDRY","INDIA",17.109,81.818
"1268","RAJSHAHI","RAJSHAHI","BANGLADESH",24.437,88.616
"1269","DE LA INDEPENDENCIA","RANCAGUA","CHILE",-34.174,-70.776
"1270","RANKIN INLET","RANKIN INLET","CANADA",62.811,-92.116
"1271","RANONG","RANONG","THAILAND",9.778,98.585
"1272","RANTASALMI","RANTASALMI","FINLAND",62.065,28.356
"1273","U TAPHAO INTERNATIONAL","RAYONG","THAILAND",12.68,101.005
"1274","RAYSKALA","RAYSKALA","FINLAND",60.745,24.108
"1275","RECHLIN LARZ","RECHLIN-LAERZ","GERMANY",53.306,12.753
"1276","GUARARAPES","RECIFE","BRAZIL",-8.126,-34.923
"1277","RECONQUISTA","RECONQUISTA","ARGENTINA",-29.21,-59.691
"1278","RED DEER REGIONAL","RED DEER INDUSTRIAL","CANADA",52.179,-113.893
"1279","REGGANE","REGGAN","ALGERIA",26.71,0.286
"1280","REGINA INTERNATIONAL","REGINA","CANADA",50.432,-104.666
"1281","RELIZANE","RELIZANE","ALGERIA",35.752,0.626
"1282","REMADA","REMADA","TUNISIA",32.306,10.382
"1283","RENDSBURG SCHACHTHOLM","RENDSBURG","GERMANY",54.221,9.601
"1284","JAPURA","RENGAT","INDONESIA",-0.353,102.335
"1285","REPULSE BAY","REPULSE BAY","CANADA",66.521,-86.225
"1286","RESISTENCIA","RESISTENCIA","ARGENTINA",-27.45,-59.056
"1287","RESOLUTE BAY","RESOLUTE","CANADA",74.717,-94.969
"1288","REYES","REYES","BOLIVIA",-14.306,-67.354
"1289","REYKJAVIK","REYKJAVIK","ICELAND",64.13,-21.941
"1290","LEITE LOPES","RIBEIRAO PRETO","BRAZIL",-21.134,-47.774
"1291","CAP DE AV SELIN ZEITUN LOPEZ","RIBERALTA","BOLIVIA",-11.01,-66.073
"1292","RIESA GOHLIS","RIESA","GERMANY",51.294,13.359
"1293","PRESIDENTE MEDICI","RIO BRANCO","BRAZIL",-9.869,-67.894
"1294","RIO CUARTO AREA DE MATERIAL","RIO CUARTO","ARGENTINA",-33.086,-64.261
"1295","CAMPO DELIO JARDIM DE MATTOS","RIO DE JANEIRO","BRAZIL",-22.875,-43.384
"1296","GALEAO ANTONIO CARLOS JOBIM","RIO DE JANEIRO","BRAZIL",-22.809,-43.244
"1297","SANTOS DUMONT","RIO DE JANEIRO","BRAZIL",-22.91,-43.163
"1298","SANTA CRUZ","RIO DE JANEIRO","BRAZIL",-22.932,-43.719
"1299","RIO GALLEGOS","RIO GALLEGOS","ARGENTINA",-51.609,-69.313
"1300","RIO GRANDE","RIO GRANDE","ARGENTINA",-53.777,-67.749
"1301","RIO GRANDE","RIO GRANDE","BRAZIL",-32.083,-52.166
"1302","ALMIRANTE PADILLA","RIO HACHA","COLOMBIA",11.526,-72.926
"1303","JOSE MARIA CORDOVA","RIO NEGRO","COLOMBIA",6.164,-75.423
"1304","EL TURBIO","RIO TURBIO","ARGENTINA",-51.606,-72.217
"1305","CHIMBORAZO","RIOBAMBA","ECUADOR",-1.654,-78.656
"1306","RIVERA INTERNATIONAL","RIVERA","URUGUAY",-30.974,-55.476
"1307","RIVIERE DU LOUP","RIVIERE DU LOUP","CANADA",47.764,-69.585
"1308","RENAISON","ROANNE","FRANCE",46.058,4.001
"1309","ROBERVAL","ROBERVAL","CANADA",48.52,-72.266
"1310","ROBORE","ROBORE","BOLIVIA",-18.328,-59.766
"1311","ROCKHAMPTON","ROCKHAMPTON","AUSTRALIA",-23.382,150.475
"1312","ROCKY MOUNTAIN HOUSE","ROCKY MOUNTAIN HOUSE","CANADA",52.43,-114.904
"1313","MARCILLAC","RODEZ","FRANCE",44.408,2.482
"1314","TAMBLER","ROMBLON","PHILIPPINES",6.058,125.096
"1315","ROSARIO","ROSARIO","ARGENTINA",-32.903,-60.784
"1316","ROSENTHAL FIELD PLOSSEN","ROSENTHAL","GERMANY",49.863,11.788
"1317","ROTHENBURG GORLITZ","ROTHENBURG/OL","GERMANY",51.364,14.952
"1318","ROTORUA","ROTORUA","NEW ZEALAND",-38.109,176.317
"1319","VALLEE DE SEINE","ROUEN","FRANCE",49.384,1.175
"1320","ROUYN NORANDA","ROUYN","CANADA",48.206,-78.836
"1321","ROVANIEMI","ROVANIEMI","FINLAND",66.565,25.83
"1322","ROXAS","ROXAS","PHILIPPINES",11.598,122.753
"1323","MEDIS","ROYAN","FRANCE",45.628,-0.973
"1324","RURRENABAQUE","RURRENABAQUE","BOLIVIA",-14.428,-67.501
"1325","SATAR TACIK","RUTENG","INDONESIA",-8.596,120.478
"1326","SAARBRUCKEN","SAARBRUECKEN","GERMANY",49.214,7.109
"1327","MAIMUN SALEH","SABANG","INDONESIA",5.874,95.339
"1328","SACE","SACE","SOUTH AFRICA",-25.961,29.209
"1329","SACHEON AB","SACHON","KOREA",35.088,128.07
"1330","SACHS HARBOUR","SACHS HARBOUR","CANADA",71.994,-125.243
"1331","SARSAWA","SAHARANPUR","INDIA",29.994,77.424
"1332","SAIDPUR","SAIDPUR","BANGLADESH",25.759,88.909
"1333","SAINTE MARIE","SAINTE MARIE","MADAGASCAR",-17.094,49.816
"1334","SAKON NAKHON","SAKON NAKHON","THAILAND",17.195,104.119
"1335","SALEM","SALEM","INDIA",11.782,78.065
"1336","GENERAL ULPIANO PAEZ","SALINAS","ECUADOR",-2.205,-80.989
"1337","SALTA","SALTA","ARGENTINA",-24.856,-65.486
"1338","NUEVA HESPERIDES INTERNATIONAL","SALTO","URUGUAY",-31.44,-57.991
"1339","DEPUTADO LUIS EDUARDO MAGALHAES","SALVADOR","BRAZIL",-12.911,-38.331
"1340","TEMINDUNG","SAMARINDA","INDONESIA",-0.484,117.157
"1341","SAMBAVA SUD","SAMBAVA","MADAGASCAR",-14.279,50.175
"1342","HASAN","SAMPIT","INDONESIA",-2.501,112.977
"1343","GUSTAVO ROJAS PINILLA","SAN ANDRES ISLAND","COLOMBIA",12.583,-81.711
"1344","SAN ANTONIO DEL TACHIRA","SAN ANTONIO","VENEZUELA",7.852,-72.435
"1345","CAPITAN GERMAN QUIROGA G","SAN BORJA","BOLIVIA",-14.857,-66.737
"1346","SAN CARLOS","SAN CARLOS","VENEZUELA",9.649,-68.575
"1347","SAN CARLOS DE BARILOCHE","SAN CARLOS DE BARILOCH","ARGENTINA",-41.151,-71.157
"1348","SAN CRISTOBAL","SAN CRISTOBAL","ECUADOR",-0.91,-89.616
"1349","PARAMILLO","SAN CRISTOBAL","VENEZUELA",7.801,-72.203
"1350","SUB TENIENTE NESTOR ARIAS","SAN FELIPE","VENEZUELA",10.279,-68.755
"1351","SAN FERNANDO","SAN FERNANDO","PHILIPPINES",16.596,120.303
"1352","SAN FERNANDO","SAN FERNANDO","ARGENTINA",-34.453,-58.589
"1353","SAN FERNANDO DE APURE","SAN FERNANDO DE APURE","VENEZUELA",7.883,-67.444
"1354","SAN FERNANDO DE ATABAPO","SAN FERNANDO DEATABAPO","VENEZUELA",4.052,-67.701
"1355","SAN IGNACIO DE MOXOS","SAN IGNACIO DE MOXOS","BOLIVIA",-14.966,-65.634
"1356","CAP AV JUAN COCHAMANIDIS SAUCEDO","SAN IGNACIO DE VELASCO","BOLIVIA",-16.384,-60.963
"1357","SAN JOAQUIN","SAN JOAQUIN","BOLIVIA",-13.053,-64.662
"1358","SAN JOSE","SAN JOSE","PHILIPPINES",12.361,121.046
"1359","ANTIQUE","SAN JOSE","PHILIPPINES",10.766,121.932
"1360","JORGE E GONZALEZ TORRES","SAN JOSE DEL GUAVIARE","COLOMBIA",2.579,-72.639
"1361","SAN JUAN DE MARCONA","SAN JUAN","PERU",-15.357,-75.136
"1362","SAN JUAN DE LOS MORROS","SAN JUAN DE LOS MORROS","VENEZUELA",9.907,-67.379
"1363","SAN JUAN","SAN JULIAN","ARGENTINA",-31.571,-68.418
"1364","SAN JULIAN","SAN JULIAN","ARGENTINA",-49.307,-67.802
"1365","AEROCLUB ARGENTINO","SAN JUSTO","ARGENTINA",-34.731,-58.599
"1366","SAN LUIS","SAN LUIS","ARGENTINA",-33.273,-66.356
"1367","AVIADOR C CAMPOS","SAN MARTIN DES ANDES","ARGENTINA",-40.075,-71.137
"1368","SAN MATIAS","SAN MATHIAS","BOLIVIA",-16.339,-58.402
"1369","SAN RAFAEL","SAN RAFAEL","ARGENTINA",-34.588,-68.403
"1370","SAN RAMON","SAN RAMON","BOLIVIA",-13.264,-64.605
"1371","SAN RAMON","SAN RAMON","PERU",-11.129,-75.35
"1372","SAN TOME","SAN TOME","VENEZUELA",8.945,-64.151
"1373","EDUARDO FALLA SOLANO","SAN VINCENTE DE CAGUAN","COLOMBIA",2.152,-74.766
"1374","SANDSPIT","SANDSPIT","CANADA",53.254,-131.814
"1375","SANDTOFT","SANDTOFT","UK",53.56,-0.858
"1376","SURIGAO","SANGLEY POINT","PHILIPPINES",9.758,125.481
"1377","SANTA ANA DEL YACUMA","SANTA ANA","BOLIVIA",-13.762,-65.435
"1378","SANTA BARBARA DE BARINAS","SANTA BARBARA","VENEZUELA",7.803,-71.166
"1379","SANTA BARBARA DEL ZULIA","SANTA BARBARA","VENEZUELA",8.974,-71.943
"1380","SANTA CRUZ","SANTA CRUZ","ARGENTINA",-50.016,-68.579
"1381","VIRU VIRU INTERNATIONAL","SANTA CRUZ","BOLIVIA",-17.645,-63.135
"1382","LA PALMA","SANTA CRUZ DE LA PALMA","SPAIN",28.626,-17.756
"1383","SAUCE VIEJO","SANTA FE","ARGENTINA",-31.712,-60.812
"1384","SIMON BOLIVAR","SANTA MARTA","COLOMBIA",11.119,-74.231
"1385","SANTA ROSA","SANTA ROSA","ARGENTINA",-36.588,-64.275
"1386","VICTOR LARREA","SANTA ROSA","ECUADOR",-3.435,-79.978
"1387","SANTA TERESITA","SANTA TERESITA","ARGENTINA",-36.542,-56.722
"1388","SANTA MARIA","SANTAREM","BRAZIL",-29.711,-53.688
"1389","EL BOSQUE","SANTIAGO","CHILE",-33.562,-70.688
"1390","ARTURO MERINO BENITEZ INTERNATIONAL","SANTIAGO","CHILE",-33.393,-70.786
"1391","EULOGIO SANCHEZ","SANTIAGO","CHILE",-33.456,-70.547
"1392","LOS CERRILLOS","SANTIAGO","CHILE",-33.493,-70.698
"1393","SANTIAGO DEL ESTERO","SANTIAGO DEL ESTERO","ARGENTINA",-27.766,-64.31
"1394","SANTO ANGELO","SANTO ANGELO","BRAZIL",-28.282,-54.169
"1395","SANTO DOMINGO","SANTO DOMINGO","CHILE",-33.657,-71.616
"1396","SANTO DOMINGO LOS COLORADOS","SANTO DOMINGO","ECUADOR",-0.248,-79.214
"1397","MAYOR BUENAVENTURA VIVAS","SANTO DOMINGO","VENEZUELA",7.565,-72.035
"1398","SANTOS AIR BASE","SANTOS","BRAZIL",-23.925,-46.288
"1399","SAO GABRIEL DA CACHOEIRA","SAO GABRIEL","BRAZIL",-0.148,-66.986
"1400","SAO JOSE DO RIO PRETO","SAO JOSE DO RIO PRETO","BRAZIL",-20.816,-49.406
"1401","SAO JOSE DOS CAMPOS","SAO JOSE DOS CAMPOS","BRAZIL",-23.229,-45.861
"1402","MARECHAL CUNHA MACHADO","SAO LUIS","BRAZIL",-2.589,-44.236
"1403","GUARULHOS","SAO PAULO","BRAZIL",-23.432,-46.469
"1404","MARTE","SAO PAULO","BRAZIL",-23.509,-46.638
"1405","CONGONHAS","SAO PAULO","BRAZIL",-23.627,-46.655
"1406","SAO PEDRO DA ALDEIA","SAO PEDRO DA ALDEIA","BRAZIL",-22.813,-42.093
"1407","SAO TOME INTERNATIONAL","SAO TOME","SAO TOME & PRINCIPE",0.378,6.712
"1408","LOS COLONIZADORES","SARAVENA","COLOMBIA",6.958,-71.855
"1409","SARH","SARH","CHAD",9.151,18.379
"1410","CHRIS HADFIELD","SARNIA","CANADA",42.999,-82.309
"1411","SAULT STE MARIE","SAULT SAINTE MARIE","CANADA",46.485,-84.509
"1412","SAVANNAKHET","SAVANNAKHET","LAOS",16.556,104.759
"1413","SAVONLINNA","SAVONLINNA","FINLAND",61.943,28.945
"1414","SCHEFFERVILLE","SCHEFFERVILLE","CANADA",54.805,-66.805
"1415","SCHONHAGEN","SCHOENHAGEN","GERMANY",52.203,13.159
"1416","SCHWABISCH HALL HESSENTAL","SCHWAEBISCH HALL","GERMANY",49.118,9.777
"1417","SEK KONG","SEK KONG","HONG KONG",22.436,114.08
"1418","SELANPAA","SELANPAA","FINLAND",61.062,26.799
"1419","SELEBI PHIKWE","SELEBI-PHIKWE","BOTSWANA",-22.058,27.829
"1420","SELIBADY","SELIBABI","MAURITANIA",15.179,-12.207
"1421","ACHMAD YANI","SEMARANG","INDONESIA",-6.973,110.375
"1422","SEMBAWANG","SEMBAWANG","SINGAPORE",1.424,103.811
"1423","GIMPO","SEOUL","KOREA",37.558,126.791
"1424","SEOUL AB","SEOUL EAST","KOREA",37.446,127.114
"1425","SEPT ILES","SEPT-ILES","CANADA",50.223,-66.266
"1426","SETIF AIN ARNAT","SETIF","ALGERIA",36.178,5.324
"1427","THYNA","SFAX","TUNISIA",34.718,10.691
"1428","SHANTE","SHANTE","MYANMAR",20.942,95.914
