"","airport","city","country","latitude","longitude"
"84","VALS LANAS","AUBENAS-VALS-LANAS","FRANCE",44.544,4.372
"85","AUCKLAND INTERNATIONAL","AUCKLAND","NEW ZEALAND",-37.008,174.792
"86","AUGSBURG","AUGSBURG","GERMANY",48.425,10.932
"87","BRANCHES","AUXERRE","FRANCE",47.85,3.497
"88","AVALON","AVALON","AUSTRALIA",-38.039,144.469
"89","RAROTONGA INTERNATIONAL","AVARUA","COOK ISLANDS",-21.203,-159.806
"90","CORONEL FAP ALFREDO MENDIVIL DUARTE","AYACUCHO","PERU",-13.155,-74.204
"91","JUAN DE AYOLAS","AYOLAS","PARAGUAY",-27.371,-56.854
"92","BACOLOD","BACOLOD","PHILIPPINES",10.643,122.929
"93","BADEN OOS","BADEN-BADEN","GERMANY",48.791,8.187
"94","BAFOUSSAM","BAFOUSSAM","CAMEROON",5.537,10.354
"95","BAGABAG","BAGABAG","PHILIPPINES",16.619,121.252
"96","BAGAN","BAGAN","MYANMAR",21.182,94.929
"97","COMANDANTE GUSTAVO KRAEMER","BAGE","BRAZIL",-31.39,-54.112
"98","BAGOTVILLE","BAGOTVILLE","CANADA",48.331,-70.996
"99","BAGUIO","BAGUIO","PHILIPPINES",16.375,120.619
"100","COMANDANTE ESPORA","BAHIA BLANCA","ARGENTINA",-38.725,-62.169
"101","JOSE CELESTINO MUTIS","BAHIA SOLANO","COLOMBIA",6.203,-77.394
"102","BAIE COMEAU","BAIE COMEAU","CANADA",49.132,-68.207
"103","BAKEL","BAKEL","SENEGAL",14.847,-12.468
"104","BAKER LAKE","BAKER LAKE","CANADA",64.299,-96.078
"105","BAKSHI KA TALAB","BAKSHI KA TALAB","INDIA",26.988,80.893
"106","SEPINGGAN","BALIKPAPAN","INDONESIA",-1.268,116.894
"107","BALMACEDA","BALMACEDA","CHILE",-45.916,-71.689
"108","BAMAKO SENOU","BAMAKO","MALI",12.533,-7.95
"109","BAMBARI","BAMBARI","CENTRAL AFRICAN REP.",5.847,20.649
"110","BAMENDA","BAMENDA","CAMEROON",6.039,10.123
"111","SULTAN ISKANDARMUDA","BANDA ACEH","INDONESIA",5.523,95.42
"112","BANDUNDU","BANDOUNDU","ZAIRE",-3.311,17.382
"113","HUSEIN SASTRANEGARA","BANDUNG","INDONESIA",-6.901,107.576
"114","BAN HUOEISAY","BANE HOUEI SAY","LAOS",20.257,100.437
"115","BANGALORE","BANGALORE","INDIA",12.95,77.668
"116","BANGASSOU","BANGASSOU","CENTRAL AFRICAN REP.",4.784,22.781
"117","BANGKOK INTERNATIONAL","BANGKOK","THAILAND",13.912,100.607
"118","BANGUI M POKO","BANGUI","CENTRAL AFRICAN REP.",4.398,18.519
"119","SYAMSUDIN NOOR","BANJARMASIN","INDONESIA",-3.442,114.761
"120","BANJUL INTERNATIONAL","BANJUL","GAMBIA",13.338,-16.652
"121","BANMAW","BANMAW","MYANMAR",24.269,97.246
"122","MAJOR BRIGADEIRO DOORGAL BORGES","BARBACENA","BRAZIL",-21.267,-43.761
"123","GENERAL JOSE ANTONIO ANZOATEGUI INTERNATIONAL","BARCELONA","VENEZUELA",10.107,-64.689
"124","BAREILLY","BAREILLY","INDIA",28.422,79.45
"125","BARINAS","BARINAS","VENEZUELA",8.619,-70.221
"126","BARQUISIMETO INTERNATIONAL","BARQUISIMETO","VENEZUELA",10.043,-69.358
"127","BARRA DO GARCAS","BARRA DO GARCAS","BRAZIL",-15.861,-52.389
"128","YARIGUIES","BARRANCABERMEJA","COLOMBIA",7.024,-73.807
"129","ERNESTO CORTISSOZ","BARRANQUILLA","COLOMBIA",10.889,-74.781
"130","BARTH","BARTH","GERMANY",54.338,12.71
"131","BASCO","BASCO","PHILIPPINES",20.452,121.98
"132","HANG NADIM","BATAM","INDONESIA",1.121,104.119
"133","BATU LICIN","BATU LICIN","INDONESIA",-3.413,115.996
"134","CAKUNG","BAUCAU","WEST TIMOR",-8.485,126.399
"135","BAURU","BAURU","BRAZIL",-22.345,-49.054
"136","BAUTZEN","BAUTZEN","GERMANY",51.193,14.52
"137","BAYREUTH","BAYREUTH","GERMANY",49.984,11.638
"138","CHALLANGES","BEAUNE","FRANCE",47.006,4.893
"139","BEAUVECHAIN","BEAUVECHAIN","BELGIUM",50.759,4.768
"140","BEIRA","BEIRA","MOZAMBIQUE",-19.796,34.907
"141","SOUMMAM","BEJAJA","ALGERIA",36.712,5.07
"142","VAL DE CAES","BELEM","BRAZIL",-1.379,-48.476
"143","JULIO CESAR","BELEM","BRAZIL",-1.414,-48.461
"144","ALDERGROVE","BELFAST","NORTH IRELAND",54.657,-6.216
"145","CITY","BELFAST","NORTH IRELAND",54.618,-5.873
"146","PHILIP S W GOLDSON INTERNATIONAL","BELIZE CITY","BELIZE",17.539,-88.308
"147","PAMPULHA","BELO HORIZONTE","BRAZIL",-19.852,-43.95
"148","TANCREDO NEVES","BELO HORIZONTE","BRAZIL",-19.634,-43.969
"149","PADANG KEMILING","BENGKULU","INDONESIA",-3.864,102.341
"150","ROUMANIERE","BERGERAC","FRANCE",44.825,0.519
"151","SCHONEFELD","BERLIN","GERMANY",52.38,13.523
"152","TEMPELHOF","BERLIN","GERMANY",52.473,13.404
"153","TEGEL","BERLIN","GERMANY",52.559,13.287
"154","BERMEJO","BERMEJO","BOLIVIA",-22.769,-64.315
"155","BERTRIX JEHONVILLE","BERTRIX","BELGIUM",49.887,5.229
"156","BESALAMPY","BESALAMPY","MADAGASCAR",-16.742,44.481
"157","BHAIRAHAWA","BHAIRAWA","NEPAL",27.506,83.416
"158","BHATINDA","BHATINDA","INDIA",30.27,74.756
"159","BHIWANI","BHIWANI","INDIA",28.837,76.178
"160","FRANS KAISIEPO","BIAK","INDONESIA",-1.19,136.108
"161","ANGLET","BIARRITZ-BAYONNE","FRANCE",43.468,-1.523
"162","BIBERACH AN DER RISS","BIBERACH","GERMANY",48.111,9.763
"163","BIDAR","BIDAR","INDIA",17.908,77.486
"164","NAL","BIKANER","INDIA",28.072,73.207
"165","MUHAMMAD SALAHUDDIN","BIMA","INDONESIA",-8.539,118.687
"166","BINTULU","BINTULU","MALAYSIA",3.172,113.044
"167","BIR MOGHREIN","BIR MOGHREIN","MAURITANIA",25.237,-11.589
"168","BIRAO","BIRAO","CENTRAL AFRICAN REP.",10.236,22.717
"169","BIRATNAGAR","BIRATNAGAR","NEPAL",26.483,87.264
"170","BIRMINGHAM","BIRMINGHAM","ENGLAND",52.454,-1.748
"171","BISKRA","BISKRA","ALGERIA",34.793,5.738
"172","BISSAU OSWALDO VIEIRA INTERNATIONAL","BISSAU","GUINEA BISSAU",11.895,-15.654
"173","BITAM","BITAM","GABON",2.076,11.493
"174","SIDI AHMED AIR BASE","BIZERTE","TUNISIA",37.245,9.791
"175","BLIDA","BLIDA","ALGERIA",36.504,2.814
"176","BOA VISTA","BOA VISTA","BRAZIL",2.846,-60.69
"177","ELDORADO INTERNATIONAL","BOGOTA","COLOMBIA",4.701,-74.147
"178","BOLIVAR","BOLIVAR","ARGENTINA",-36.187,-61.076
"179","BOM JESUS DA LAPA","BOM JESUS DA LAPA","BRAZIL",-13.262,-43.408
"180","MERIGNAC","BORDEAUX","FRANCE",44.828,-0.716
"181","BORDJ EL AMRI","BORDJ EL AMRI","TUNISIA",36.721,9.943
"182","BORKUM","BORKUM","GERMANY",53.595,6.709
"183","BOSCOMBE DOWN","BOSCOMBE DOWN","ENGLAND",51.152,-1.747
"184","BOU SAADA","BOU SAADA","ALGERIA",35.333,4.206
"185","BOU SFER","BOU SFER","ALGERIA",35.735,-0.805
"186","BOUFARIK","BOUFARIK","ALGERIA",36.546,2.876
"187","CEYZERIAT","BOURG","FRANCE",46.201,5.292
"188","BOURGES","BOURGES","FRANCE",47.058,2.37
"189","BRANDON MUNI","BRANDON","CANADA",49.91,-99.952
"190","PRESIDENTE JUSCELINO KUBITSCHEK","BRASILIA","BRAZIL",-15.862,-47.913
"191","BRAASCHAAT","BRASSCHAAT","BELGIUM",51.333,4.5
"192","BRAUNSCHWEIG","BRAUNSCHWEIG","GERMANY",52.319,10.556
"193","BRAZZAVILLE MAYA MAYA","BRAZZAVILLE","CONGO",-4.252,15.253
"194","BREMEN","BREMEN","GERMANY",53.047,8.787
"195","BREMERHAVEN","BREMERHAVEN","GERMANY",53.503,8.573
"196","BRETIGNY SUR ORGE","BRETIGNY-SUR-ORGE","FRANCE",48.597,2.331
"197","BRIENNE LE CHATEAU","BRIENNE-LE CHATEAU","FRANCE",48.43,4.481
"198","BRISBANE ARCHERFIELD","BRISBANE","AUSTRALIA",-27.57,153.008
"199","BRISBANE INTERNATIONAL","BRISBANE","AUSTRALIA",-27.384,153.118
"200","BRISTOL","BRISTOL","ENGLAND",51.383,-2.719
"201","LA ROCHE","BRIVE","FRANCE",45.151,1.469
"202","QIKIQTARJUAQ","BROUGHTON ISLAND","CANADA",67.546,-64.031
"203","BRUNEI INTERNATIONAL","BRUNEI","BRUNEI",4.946,114.928
"204","BRUSSELS NATL","BRUSSELS","BELGIUM",50.902,4.499
"205","PALONEGRO","BUCARAMANGA","COLOMBIA",7.126,-73.185
"206","GERARDO TOBAR LOPEZ","BUENAVENTURA","COLOMBIA",3.819,-76.99
"207","AEROPARQUE JORGE NEWBERY","BUENOS AIRES","ARGENTINA",-34.559,-58.416
"208","DON TORCUATO","BUENOS AIRES","ARGENTINA",-34.501,-58.604
"209","BUKAVU KAVUMU","BUKAVU/KAVUMU","ZAIRE",-2.309,28.809
"210","BUNIA","BUNIA","ZAIRE",1.566,30.221
"211","BURG FEUERSTEIN","BURG FEUERSTEIN","GERMANY",49.794,11.132
"212","BURWASH","BURWASH","CANADA",61.371,-139.041
"213","PUSAN","BUSAN","KOREA",35.171,129.129
"214","BUTA ZEGA","BUTA ZEGA","ZAIRE",2.818,24.794
"215","BUTTERWORTH","BUTTERWORTH","MALAYSIA",5.466,100.391
"216","CABALLOCOCHA","CABALLOCOCHA","PERU",-3.917,-70.508
"217","LALBENQUE","CAHORS","FRANCE",44.351,1.475
"218","CAICARA DE ORINOCO","CAICARA DE ORINOCO","VENEZUELA",7.626,-66.165
"219","CAIRNS INTERNATIONAL","CAIRNS","AUSTRALIA",-16.886,145.755
"220","MAJ GEN FAP ARMANDO REVOREDO IGLESIAS","CAJAMARCA","PERU",-7.136,-78.49
"221","CALABOZO","CALABOZO","VENEZUELA",8.924,-67.417
"222","EL LOA","CALAMA","CHILE",-22.499,-68.904
"223","CALBAYOG","CALBAYOG","PHILIPPINES",12.072,124.545
"224","ALFONSO BONILLA ARAGON INTERNATIONAL","CALI","COLOMBIA",3.543,-76.381
"225","CALICUT","CALICUT","INDIA",11.136,75.955
"226","CAMBRIDGE BAY","CAMBRIDGE BAY","CANADA",69.108,-105.138
"227","CAMIRI","CAMIRI","BOLIVIA",-20.007,-63.527
"228","CAMPBELL RIVER","CAMPBELL RIVER","CANADA",49.951,-125.271
"229","VIRACOPOS","CAMPINAS","BRAZIL",-23.008,-47.134
"230","CAMPO GRANDE","CAMPO GRANDE","BRAZIL",-20.469,-54.672
"231","BARTOLOMEU LISANDRO","CAMPOS","BRAZIL",-21.698,-41.302
"232","CANAIMA","CANAIMA","VENEZUELA",6.232,-62.854
"233","CANBERRA","CANBERRA","AUSTRALIA",-35.308,149.194
"234","CAP SKIRING","CAP SKIRING","SENEGAL",12.41,-16.746
"235","CAPE DORSET","CAPE DORSET","CANADA",64.23,-76.527
"236","OSCAR MACHADO ZULOAGA","CARACAS","VENEZUELA",10.286,-66.816
